 load, slew_d, slew_clk, process, voltage, temperature, skew_d, setup_skew, hold_skew, ckq_delay, D, Q, D_Q_comparision
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,0.0,-3e-11,8e-11,1.33e-10,9.648897e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,0.0,-2e-11,7e-11,1.43e-10,9.648591e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,0.0,-1e-11,6e-11,1.53e-10,9.652458e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,0.0,0.0,5e-11,1.63e-10,9.700633e-11,1.000000e+00,1.000001e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,0.0,1e-11,4e-11,1.73e-10,9.882866e-11,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,0.0,2e-11,3e-11,1.83e-10,1.111784e-10,1.000000e+00,1.000002e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,125.0,-3e-11,8e-11,1.33e-10,1.449051e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,125.0,-2e-11,7e-11,1.43e-10,1.466225e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,125.0,-1e-11,6e-11,1.53e-10,1.511532e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,125.0,0.0,5e-11,1.63e-10,1.685006e-10,1.000000e+00,1.000000e+00,match 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,125.0,1e-11,4e-11,1.73e-10,0,1.000000e+00,1.584993e-04,mismatch 
1.000000e-14,1.000000e-11,1.000000e-11,tt,1.000000,125.0,2e-11,3e-11,1.83e-10,0,1.000000e+00,8.789438e-05,mismatch 
